sensor_type,bacon_id,toast_id,sensor_channel,sensor_id,unixTS,isoTS,date,time,voltage,tsQuality
20,0x0400000000000008,0x0500000000000008,1,3,1599774893.27,2020-09-10 17:54:53,2020-09-10,17:54:53,0.1904,1.0000
20,0x0400000000000008,0x0500000000000008,1,3,1599775492.89,2020-09-10 18:04:52,2020-09-10,18:04:52,0.2155,1.0000
20,0x0400000000000008,0x0500000000000008,1,3,1599776092.90,2020-09-10 18:14:52,2020-09-10,18:14:52,0.1917,1.0000
20,0x0400000000000008,0x0500000000000008,1,3,1599776692.91,2020-09-10 18:24:52,2020-09-10,18:24:52,0.1904,1.0000
20,0x0400000000000008,0x0500000000000008,1,3,1599777292.93,2020-09-10 18:34:52,2020-09-10,18:34:52,0.2032,1.0000
20,0x0400000000000008,0x0500000000000008,1,3,1599777892.94,2020-09-10 18:44:52,2020-09-10,18:44:52,0.1910,1.0000
20,0x0400000000000008,0x0500000000000008,1,3,1599778492.95,2020-09-10 18:54:52,2020-09-10,18:54:52,0.1917,1.0000
20,0x0400000000000008,0x0500000000000008,1,3,1599779092.96,2020-09-10 19:04:52,2020-09-10,19:04:52,0.1984,1.0000
20,0x0400000000000008,0x0500000000000008,1,3,1599779692.97,2020-09-10 19:14:52,2020-09-10,19:14:52,0.2155,1.0000
20,0x0400000000000008,0x0500000000000008,1,3,1599780292.98,2020-09-10 19:24:52,2020-09-10,19:24:52,0.1904,1.0000
20,0x0400000000000008,0x0500000000000008,1,3,1599780893.00,2020-09-10 19:34:52,2020-09-10,19:34:52,0.2094,1.0000
20,0x0400000000000008,0x0500000000000008,1,3,1599781493.01,2020-09-10 19:44:53,2020-09-10,19:44:53,0.2020,1.0000
20,0x0400000000000008,0x0500000000000008,1,3,1599782093.02,2020-09-10 19:54:53,2020-09-10,19:54:53,0.2173,1.0000
20,0x0400000000000008,0x0500000000000008,1,3,1599782693.03,2020-09-10 20:04:53,2020-09-10,20:04:53,0.2136,1.0000
20,0x0400000000000008,0x0500000000000008,1,3,1599783293.04,2020-09-10 20:14:53,2020-09-10,20:14:53,0.2112,1.0000
20,0x0400000000000008,0x0500000000000008,1,3,1599783893.05,2020-09-10 20:24:53,2020-09-10,20:24:53,0.2148,1.0000
20,0x0400000000000008,0x0500000000000008,1,3,1599784493.07,2020-09-10 20:34:53,2020-09-10,20:34:53,0.1910,1.0000
20,0x0400000000000008,0x0500000000000008,1,3,1599785093.08,2020-09-10 20:44:53,2020-09-10,20:44:53,0.1929,1.0000
